P1_lam,P1_ram,P2_lam,P2_ram,P3_lam,P3_ram,P4_lam,P4_ram,P5_lam,P5_ram,P6_lam,P6_ram,P7_lam,P7_ram
154055,161077,145995,74440,140167,149685,141510,54318,149999,126227,152329,147458,150060,54918
154059,161070,145946,72897,140113,149807,141482,52917,149297,125253,152309,147671,149966,53400
154069,161049,145898,71481,140033,149837,141515,51556,148572,124277,152313,147835,149863,51931
154060,161045,145889,69729,139966,149834,141448,50259,147887,123242,152308,148069,149784,50518
154040,161042,145893,68391,139902,149780,141431,48986,147128,122216,152336,148271,149664,49079
154026,161049,145911,66954,139826,149644,141432,47739,146409,121128,152325,148504,149549,47703
154006,161048,145949,65479,139751,149594,141404,46542,145647,120035,152304,148692,149413,46298
153984,161054,145995,64132,139678,149386,141392,45343,144894,119161,152307,148852,149277,44746
153967,161048,146024,62754,139592,149142,141371,44196,144230,117999,152301,148865,149147,43345
153957,161030,146053,61345,139523,148895,141339,43064,143634,116855,152279,149032,148981,41794
153958,161036,146109,59976,139455,148531,141312,41972,143078,115614,152278,149196,148830,40467
153967,161046,146174,58629,139411,148201,141296,40940,142651,114252,152286,149352,148666,39184
153969,161043,146232,57268,139395,147742,141272,39946,142311,112930,152299,149287,148520,37940
153970,161025,146289,55902,139370,147240,141290,39008,141970,111557,152288,149430,148368,36786
153965,161002,146330,54524,139362,146664,141288,38126,141717,110122,152287,149527,148239,35841
153955,160982,146351,53365,139387,146031,141282,37314,141399,108568,152329,149621,148103,34760
153928,160917,146408,52057,139423,145362,141283,36582,141055,107011,152328,149840,147981,33772
153910,160842,146453,50805,139420,144566,141306,35926,140730,105314,152308,149922,147888,32827
153886,160787,146517,49628,139465,143682,141345,35306,140519,103568,152324,149979,147828,32097
153861,160708,146579,48361,139524,142734,141374,34658,140421,101800,152337,150117,147783,31493
153846,160673,146636,47252,139625,141625,141403,33911,140361,99875,152318,150185,147726,31005
153828,160644,146674,46200,139651,140482,141419,33419,140355,97972,152297,150307,147705,30648
153817,160636,146719,45277,139687,139242,141447,32967,140353,96000,152274,150408,147671,30437
153817,160646,146766,44407,139702,137873,141412,32603,140378,93981,152277,150489,147655,30323
153840,160664,146796,43634,139710,136461,141416,32258,140465,91784,152295,150608,147662,30336
153873,160698,146827,42928,139720,134943,141395,31998,140474,89711,152308,150667,147683,30454
153925,160771,146877,42313,139705,133367,141360,31747,140489,87568,152284,150770,147700,30674
153968,160822,146936,41551,139705,131708,141318,31591,140616,85159,152333,150945,147719,31016
